"","True Classifier","Fitted Classifier","n","k","K","Balancing index","Fitting time","MeanPrecision","MicroPrecision","MacroPrecision","MacroRecall","MacroFscore"
"182","BooMix","For","Mid","Small","Mid",0.28740157480315,0.38501501083374,0.958666666666667,0.876,0.863199066061111,0.874558823529412,0.868841815316376
"183","BooMix","For","Mid","Mid","Small",0.372047244094488,0.417031049728394,0.901333333333333,0.852,0.861588726337808,0.81989898989899,0.840227043720186
"184","BooMix","For","Mid","Mid","Mid",0.118942731277533,0.477050065994263,0.958,0.748,0.780696147512004,0.720617634048617,0.749454801042542
"185","BooMix","Boo","Small","Small","Small",0.315789473684211,16.1426298618317,0.96,0.96,0.975,0.916666666666667,0.944933920704846
"186","BooMix","Boo","Small","Small","Mid",0.342105263157895,20.127678155899,0.92,0.84,0.909090909090909,0.817307692307692,0.860759493670886
"187","BooMix","Boo","Small","Mid","Small",0.351351351351351,19.9469978809357,1,1,1,1,1
"188","BooMix","Boo","Small","Mid","Mid",0.102564102564103,20.6835379600525,0.91,0.64,NA,NA,NA
"189","BooMix","Boo","Mid","Small","Small",0.730103806228374,203.891149997711,0.956,0.956,0.952873563218391,0.956743508214096,0.954804614387069
"190","BooMix","Boo","Mid","Small","Mid",0.164859002169197,212.729480028152,0.98,0.94,0.918457557559881,0.908469660136327,0.913436306694527
"191","BooMix","Boo","Mid","Mid","Small",0.317957166392092,209.891664981842,0.914666666666667,0.872,0.852143060904293,0.828788016893021,0.84030329010453
"192","BooMix","Boo","Mid","Mid","Mid",0.172043010752688,221.697779178619,0.939333333333333,0.636,0.594324581994564,0.613984832284168,0.603994762411268
"193","BooMix","SVM","Small","Small","Small",0.351351351351351,0.455471038818359,0.96,0.96,0.975,0.916666666666667,0.944933920704846
"194","BooMix","SVM","Small","Small","Mid",0.2,0.0520389080047607,0.96,0.92,0.954545454545455,0.961538461538462,0.958029197080292
"195","BooMix","SVM","Small","Mid","Small",0.428571428571429,0.030980110168457,0.76,0.76,0.702380952380952,0.702380952380952,0.702380952380952
"196","BooMix","SVM","Small","Mid","Mid",0.285714285714286,0.0520021915435791,0.94,0.76,NA,NA,NA
"197","BooMix","SVM","Mid","Small","Small",0.449275362318841,0.123009204864502,0.972,0.972,0.970934139784946,0.957222086289862,0.964029356508107
"198","BooMix","SVM","Mid","Small","Mid",0.448430493273543,0.255135059356689,0.969333333333333,0.908,0.907305112171348,0.911521429456212,0.909408383780564
